prompt,contributor,comment
"Take this photo of me and turn me into a collectible figurine inside a toy box. Include a clear window, bold packaging graphics, my name on the box, glossy resin texture, realistic likeness, studio product lighting, high-res photoreal finish.",@Tomsguide,Viral #1 trend—widely shared example in Tom's Guide and many how‑tos for Nano Banana collectible edits.
"Transform this portrait into an anime hero: vibrant manga color palette, dramatic cinematic lighting, dynamic action pose, crisp linework, maintain identity and facial features.",@trend-bot,Top viral prompt from multiple 'top 10' lists (YouTube/viral threads) making anime avatars hugely popular.
"Create a cyberpunk portrait from this photo: neon city background, reflective goggles, glowing accents, rain-soaked streets, high‑contrast cinematic lighting, photoreal detail.",@trend-bot,Frequently appearing in viral Nano Banana galleries and videos — a staple stylistic trend.
"Turn this image into a realistic astronaut portrait: authentic NASA-style suit, cosmic galaxy backdrop, helmet reflections, cinematic rim lighting, photoreal finish.",@trend-bot,Common pick in 'Top 10' Nano Banana prompt lists (astronaut portrait is a viral favorite).
"Recreate this subject as a 16-bit video game character and place them in a classic 2D platform level: pixel art sprite, limited palette, retro UI and background, crisp outlines.",@timesofindia,Featured by Times of India and other outlets as a viral retro-game prompt loved for shareable nostalgia edits.
"Redraw this photo in Studio Ghibli style: soft painterly backgrounds, warm cinematic lighting, hand-painted textures, expressive eyes, keep identity and pose consistent.",@Fotor,Listed in Fotor's 'hottest prompts' as a trending stylistic transformation inspired by Ghibli aesthetics.
"Reshape the body of the person in [Image1] into a [target body type]. Keep the face, identity, hairstyle, and clothing consistent. Ensure realistic anatomy, natural proportions, and photorealistic details.",@Fotor,Copied from Fotor's prompt roundup — trending for realistic but identity-preserving body edits.
"Place me into Vincent van Gogh's 'Starry Night' (or other classic painting): render me in the original style's brushwork, colors and texture so I blend seamlessly, no text.",@Tomsguide,Popular 'insert into artwork' prompt highlighted by Tom's Guide and Times of India; widely used for creative mashups.
"Generate an image of the same scene as [Image1], but showing how it looks 10 minutes later. Keep environment and style consistent; add natural changes in light, weather, and people for photoreal continuity.",@Fotor,From Fotor's list (time‑based generation) — trending for storytelling edits and sequential image continuity.
"Create a Hollywood blockbuster poster from this photo: epic cinematic lighting, dramatic composition, bold typography (title + credits area), high contrast color grade, photoreal and posterized finish.",@trend-bot,"Featured across viral Nano Banana tutorials and YouTube 'top prompts' as a high-engagement, shareable transformation."
"Take this photo of me and turn me into a collectible figurine inside a toy box. The box should include a clear plastic window, bold graphics, and my name on the packaging. Style the figurine in a fun, toy-like way but keep my likeness recognizable. Photorealistic studio lighting.",@trend-bot,#1 viral Nano Banana prompt — widely shared in articles and videos for its shareable 'toy box' results
"Turn the person in [Image1] into a lifelike 3D action figure, dynamic pose, glossy plastic texture, detailed clothing, placed on a display stand, studio lighting, photorealistic.",@trend-bot,"Popular on tutorials and prompt lists for creating collectible action-figure renders (Fotor, GrowthJockey)"
"Transform this person into an anime protagonist, dynamic action pose, vibrant manga colors, dramatic lighting, cinematic background, maintain facial identity, high-detail.",@trend-bot,Anime hero prompts consistently rank high in Nano Banana trend videos and community posts
"Create a cyberpunk-style portrait of the person in [Image1], neon city background, reflective goggles, glowing accents, moody cinematic lighting, photorealistic.",@trend-bot,Cyberpunk portraits are repeatedly listed among top Nano Banana prompts for striking visual impact
"Make a Hollywood-style blockbuster poster starring the subject in [Image1], dramatic lighting, cinematic color grading, epic background, space for bold typography (no text), photorealistic.",@trend-bot,Movie-poster edits go viral for social thumbnails and content creators (featured in Top 10 videos)
"Transform this photo into a realistic 1980s portrait: neon clothing, big hair, retro mall arcade background, authentic film grain and color grading, keep likeness.",@trend-bot,Decade/retro transformations trend across Tom's Guide and Times of India as a fun nostalgia prompt
"Place the person from [Image1] into Vincent van Gogh's 'Starry Night', painted in the same swirling brushstroke style so they blend naturally into the scene.",@trend-bot,"Classic-art insertion prompts are popular for dramatic stylistic mashups (Tom's Guide, Times of India examples)"
"Create a hyper-realistic 3D miniature figurine of this pet, glossy resin texture, placed on a wooden desk with birthday decorations, studio lighting, preserve pet's likeness.",@trend-bot,"Pet-to-figurine prompts are widely used and shared for giftable, viral content (Google/TI examples)"
"Generate an image of the same scene as [Image1] but showing how it looks 10 minutes later; keep environment and style consistent, add subtle changes in light, weather, and motion.",@trend-bot,"Time-based continuity prompts (e.g., '10 minutes later') featured in Fotor's Nano Banana guide"
"Reshape the body of the person in [Image1] into a [target body type] while keeping face, identity, hairstyle, and clothing consistent; ensure realistic anatomy, natural proportions, photorealistic detail.",@trend-bot,Body-reshape prompts are trending for controlled edits while preserving identity (documented in Fotor examples)
